Id,Label,Link
ADRACK_HUMBLE,Adrack Humble,https://gameofthrones.fandom.com/wiki/Adrack_Humble
AERYS,Aerys,https://gameofthrones.fandom.com/wiki/Aerys_II_Targaryen
ALLISER_THORNE,Alliser Thorne,https://gameofthrones.fandom.com/wiki/Alliser_Thorne
ANYA_WAYNWOOD,Anya Waynwood,https://gameofthrones.fandom.com/wiki/Anya_Waynwood
ARYA,Arya,https://gameofthrones.fandom.com/wiki/Arya_Stark
AXELL_FLORENT,Axell Florent,https://gameofthrones.fandom.com/wiki/Axell_Florent
BALON,Balon,https://gameofthrones.fandom.com/wiki/Balon_Greyjoy
BARRISTAN,Barristan,https://gameofthrones.fandom.com/wiki/Barristan_Selmy
BITER,Biter,https://gameofthrones.fandom.com/wiki/Biter
BOROS,Boros,https://gameofthrones.fandom.com/wiki/Boros_Blount
BRAN,Bran,https://gameofthrones.fandom.com/wiki/Bran_Stark
BRIENNE,Brienne,https://gameofthrones.fandom.com/wiki/Brienne_of_Tarth
BRONN,Bronn,https://gameofthrones.fandom.com/wiki/Bronn
CATELYN,Catelyn,https://gameofthrones.fandom.com/wiki/Catelyn_Stark
CERSEI,Cersei,https://gameofthrones.fandom.com/wiki/Cersei_Lannister
COOPER,Cooper,https://gameofthrones.fandom.com/wiki/Cooper
CRASTER,Craster,https://gameofthrones.fandom.com/wiki/Craster
DAARIO,Daario,https://gameofthrones.fandom.com/wiki/Daario_Naharis
DAENERYS,Daenerys,https://gameofthrones.fandom.com/wiki/Daenerys_Targaryen
DAVOS,Davos,https://gameofthrones.fandom.com/wiki/Davos_Seaworth
EDDISON_TOLLETT,Eddison,https://gameofthrones.fandom.com/wiki/Eddison_Tollett
DONNEL_HILL,Donnel Hill,https://gameofthrones.fandom.com/wiki/Donnel_Hill
DONNEL_WAYNWOOD,Donnel Waynwood,https://gameofthrones.fandom.com/wiki/Donnel_Waynwood
DONTOS,Dontos,https://gameofthrones.fandom.com/wiki/Dontos_Hollard
DORAN,Doran,https://gameofthrones.fandom.com/wiki/Doran_Martell
DROGO,Drogo,https://gameofthrones.fandom.com/wiki/Drogo
ELLARIA,Ellaria,https://gameofthrones.fandom.com/wiki/Ellaria_Sand
ENDREW,Endrew,https://gameofthrones.fandom.com/wiki/Endrew_Tarth
FENNESZ,Fennesz,https://gameofthrones.fandom.com/wiki/Fennesz
GILLY,Gilly,https://gameofthrones.fandom.com/wiki/Gilly
GOATHERD,Goatherd,https://gameofthrones.fandom.com/wiki/Goatherd
GRENN,Grenn,https://gameofthrones.fandom.com/wiki/Grenn
GREY_WORM,Grey Worm,https://gameofthrones.fandom.com/wiki/Grey_Worm
GUYMON,Guymon,https://gameofthrones.fandom.com/wiki/Guymon
HIZDAHR,Hizdahr,https://gameofthrones.fandom.com/wiki/Hizdahr_zo_Loraq
HODOR,Hodor,https://gameofthrones.fandom.com/wiki/Hodor
HOSTER,Hoster,https://gameofthrones.fandom.com/wiki/Hoster_Tully
HOT_PIE,Hot Pie,https://gameofthrones.fandom.com/wiki/Hot_Pie
JAIME,Jaime,https://gameofthrones.fandom.com/wiki/Jaime_Lannister
JANOS,Janos,https://gameofthrones.fandom.com/wiki/Janos_Slynt
