Id,Label,Link
AERON,Aeron,https://gameofthrones.fandom.com/wiki/Aeron_Greyjoy
AERYS,Aerys,https://gameofthrones.fandom.com/wiki/Aerys_II_Targaryen
ALLISER_THORNE,Alliser,https://gameofthrones.fandom.com/wiki/Alliser_Thorne
AREO,Areo,https://gameofthrones.fandom.com/wiki/Areo_Hotah
ARTHUR,Arthur,https://gameofthrones.fandom.com/wiki/Arthur_Dayne
ARYA,Arya,https://gameofthrones.fandom.com/wiki/Arya_Stark
BALON,Balon,https://gameofthrones.fandom.com/wiki/Balon_Greyjoy
BELICHO,Belicho,https://gameofthrones.fandom.com/wiki/Belicho_Paenymion
BENJEN,Benjen,https://gameofthrones.fandom.com/wiki/Benjen_Stark
BERIC,Beric,https://gameofthrones.fandom.com/wiki/Beric_Dondarrion
BIANCA,Bianca,https://gameofthrones.fandom.com/wiki/Bianca
BOBONO,Bobono,https://gameofthrones.fandom.com/wiki/Bobono
BOWEN_MARSH,Bowen,https://gameofthrones.fandom.com/wiki/Bowen_Marsh
BRAN,Bran,https://gameofthrones.fandom.com/wiki/Bran_Stark
BRIENNE,Brienne,https://gameofthrones.fandom.com/wiki/Brienne_of_Tarth
BRONN,Bronn,https://gameofthrones.fandom.com/wiki/Bronn
BRYNDEN,Brynden,https://gameofthrones.fandom.com/wiki/Brynden_Tully
CAMELLO,Camello,https://gameofthrones.fandom.com/wiki/Camello
CATELYN,Catelyn,https://gameofthrones.fandom.com/wiki/Catelyn_Stark
CERSEI,Cersei,https://gameofthrones.fandom.com/wiki/Cersei_Lannister
CLARENZO,Clarenzo,https://gameofthrones.fandom.com/wiki/Clarenzo
DAARIO,Daario,https://gameofthrones.fandom.com/wiki/Daario_Naharis
DAENERYS,Daenerys,https://gameofthrones.fandom.com/wiki/Daenerys_Targaryen
DAVOS,Davos,https://gameofthrones.fandom.com/wiki/Davos_Seaworth
DICKON,Dickon,https://gameofthrones.fandom.com/wiki/Dickon_Tarly
DIM_DALBA,Dim Dalba,https://gameofthrones.fandom.com/wiki/Dim_Dalba
EDDISON_TOLLETT,Eddison,https://gameofthrones.fandom.com/wiki/Eddison_Tollett
DORAN,Doran,https://gameofthrones.fandom.com/wiki/Doran_Martell
DROGO,Drogo,https://gameofthrones.fandom.com/wiki/Drogo
EDMURE,Edmure,https://gameofthrones.fandom.com/wiki/Edmure_Tully
ELLARIA,Ellaria,https://gameofthrones.fandom.com/wiki/Ellaria_Sand
EURON,Euron,https://gameofthrones.fandom.com/wiki/Euron_Greyjoy
GATINS,Gatins,https://gameofthrones.fandom.com/wiki/Gatins
GILLY,Gilly,https://gameofthrones.fandom.com/wiki/Gilly
GREY_WORM,Grey Worm,https://gameofthrones.fandom.com/wiki/Grey_Worm
HARALD,Harald,https://gameofthrones.fandom.com/wiki/Harald_Karstark
HIGH_SPARROW,High Sparrow,https://gameofthrones.fandom.com/wiki/High_Sparrow
HODOR,Hodor,https://gameofthrones.fandom.com/wiki/Hodor
HOSTER,Hoster,https://gameofthrones.fandom.com/wiki/Hoster_Tully
HOUND,Sandor,https://gameofthrones.fandom.com/wiki/Sandor_Clegane
HOWLAND,Howland,https://gameofthrones.fandom.com/wiki/Howland_Reed
IZEMBARO,Izembaro,https://gameofthrones.fandom.com/wiki/Izembaro
JAIME,Jaime,https://gameofthrones.fandom.com/wiki/Jaime_Lannister
JAQEN,Jaqen,https://gameofthrones.fandom.com/wiki/Jaqen_H%27ghar
JEOR,Jeor,https://gameofthrones.fandom.com/wiki/Jeor_Mormont
JOFFREY,Joffrey,https://gameofthrones.fandom.com/wiki/Joffrey_Baratheon
JON,Jon,https://gameofthrones.fandom.com/wiki/Jon_Snow
JORAH,Jorah,https://gameofthrones.fandom.com/wiki/Jorah_Mormont
KEVAN,Kevan,https://gameofthrones.fandom.com/wiki/Kevan_Lannister
KINVARA,Kinvara,https://gameofthrones.fandom.com/wiki/Kinvara
KRAZNYS_MO_NAKLOZ,Kraznys,https://gameofthrones.fandom.com/wiki/Kraznys_mo_Nakloz
LADY_CRANE,Lady Crane,https://gameofthrones.fandom.com/wiki/Lady_Crane
LANCEL,Lancel,https://gameofthrones.fandom.com/wiki/Lancel_Lannister
LEAF,Leaf,https://gameofthrones.fandom.com/wiki/Leaf
LEM,Lem,https://gameofthrones.fandom.com/wiki/Lem
LITTLEFINGER,Petyr,https://gameofthrones.fandom.com/wiki/Petyr_Baratheon
LORAS,Loras,https://gameofthrones.fandom.com/wiki/Loras_Tyrell
LOTHAR,Lothar,https://gameofthrones.fandom.com/wiki/Lothar_Frey
LYANNA,Lyanna,https://gameofthrones.fandom.com/wiki/Lyanna_Stark
LYANNA_MORMONT,Lyanna Mormont,https://gameofthrones.fandom.com/wiki/Lyanna_Mormont
MACE,Mace,https://gameofthrones.fandom.com/wiki/Mace_Tyrell
MAESTER_AEMON,Aemon,https://gameofthrones.fandom.com/wiki/Aemon
MANCE,Mance,https://gameofthrones.fandom.com/wiki/Mance_Rayder
MARGAERY,Margaery,https://gameofthrones.fandom.com/wiki/Margaery_Tyrell
MEERA,Meera,https://gameofthrones.fandom.com/wiki/Meera_Reed
MELESSA,Melessa,https://gameofthrones.fandom.com/wiki/Melessa_Tarly
MELISANDRE,Melisandre,https://gameofthrones.fandom.com/wiki/Melisandre
MISSANDEI,Missandei,https://gameofthrones.fandom.com/wiki/Missandei
MORGAN,Morgan,https://gameofthrones.fandom.com/wiki/Morgan_(Two_Swords)
MOUNTAIN,Gregor,https://gameofthrones.fandom.com/wiki/Gregor_Clegane
MYRANDA,Myranda,https://gameofthrones.fandom.com/wiki/Myranda
MYRCELLA,Myrcella,https://gameofthrones.fandom.com/wiki/Myrcella_Baratheon
NED,Ned,https://gameofthrones.fandom.com/wiki/Ned_Umber
NIGHT_KING,Night King,https://gameofthrones.fandom.com/wiki/Night_King
NYMERIA,Nymeria,https://gameofthrones.fandom.com/wiki/Nymeria_Sand
OBARA,Obara,https://gameofthrones.fandom.com/wiki/Obara_Sand
OBERYN,Oberyn,https://gameofthrones.fandom.com/wiki/Oberyn_Martell
OLD_NAN,Old Nan,https://gameofthrones.fandom.com/wiki/Old_Nan
OLENNA,Olenna,https://gameofthrones.fandom.com/wiki/Olenna_Tyrell
OLLY,Olly,https://gameofthrones.fandom.com/wiki/Olly
OSHA,Osha,https://gameofthrones.fandom.com/wiki/Osha
PODRICK,Podrick,https://gameofthrones.fandom.com/wiki/Podrick_Payne
PYCELLE,Pycelle,https://gameofthrones.fandom.com/wiki/Pycelle
QYBURN,Qyburn,https://gameofthrones.fandom.com/wiki/Qyburn
RAMSAY,Ramsay,https://gameofthrones.fandom.com/wiki/Ramsay_Bolton
RANDYLL,Randyll,https://gameofthrones.fandom.com/wiki/Randyll_Tarly
RAY,Ray,https://gameofthrones.fandom.com/wiki/Ray
RAZDAL,Razdal,https://gameofthrones.fandom.com/wiki/Razdal_mo_Eraz
RICKARD_KARSTARK,Rickard Karstark,https://gameofthrones.fandom.com/wiki/Rickard_Karstark
RICKARD_STARK,Rickard Stark,https://gameofthrones.fandom.com/wiki/Rickard_Stark
RICKON,Rickon,https://gameofthrones.fandom.com/wiki/Rickon_Stark
ROBB,Robb,https://gameofthrones.fandom.com/wiki/Robb_Stark
ROBERT,Robert,https://gameofthrones.fandom.com/wiki/Robert_Baratheon
ROBETT,Robett,https://gameofthrones.fandom.com/wiki/Robett_Glover
ROBIN,Robin,https://gameofthrones.fandom.com/wiki/Robin_Arryn
RODRIK,Rodrik,https://gameofthrones.fandom.com/wiki/Rodrik_Cassel
ROOSE_BOLTON,Roose,https://gameofthrones.fandom.com/wiki/Roose_Bolton
SAM,Sam,https://gameofthrones.fandom.com/wiki/Sam
SANSA,Sansa,https://gameofthrones.fandom.com/wiki/Sansa_Stark
SHIREEN,Shireen,https://gameofthrones.fandom.com/wiki/Shireen_Baratheon
SMALLJON,Smalljon,https://gameofthrones.fandom.com/wiki/Smalljon_Umber
STANNIS,Stannis,https://gameofthrones.fandom.com/wiki/Stannis_Baratheon
TALLA,Talla,https://gameofthrones.fandom.com/wiki/Talla_Tarly
THEON,Theon,https://gameofthrones.fandom.com/wiki/Theon_Greyjoy
THOROS,Thoros,https://gameofthrones.fandom.com/wiki/Thoros
TOMMEN,Tommen,https://gameofthrones.fandom.com/wiki/Tommen_Baratheon
TORMUND,Tormund,https://gameofthrones.fandom.com/wiki/Tormund
TRYSTANE,Trystane,https://gameofthrones.fandom.com/wiki/Trystane_Martell
TYENE,Tyene,https://gameofthrones.fandom.com/wiki/Tyene_Sand
TYRION,Tyrion,https://gameofthrones.fandom.com/wiki/Tyrion_Lannister
TYWIN,Tywin,https://gameofthrones.fandom.com/wiki/Tywin_Lannister
VALA,Vala,https://gameofthrones.fandom.com/wiki/Vala
VARYS,Varys,https://gameofthrones.fandom.com/wiki/Varys
WAIF,Waif,https://gameofthrones.fandom.com/wiki/Waif
WALDA,Walda,https://gameofthrones.fandom.com/wiki/Walda_Frey_(The_Rains_of_Castamere)
WALDER,Walder,https://gameofthrones.fandom.com/wiki/Walder_Rivers
YARA,Yara,https://gameofthrones.fandom.com/wiki/Yara_Greyjoy
YEZZAN,Yezzan,https://gameofthrones.fandom.com/wiki/Yezzan_zo_Qaggaz
YOHN_ROYCE,Yohn,https://gameofthrones.fandom.com/wiki/Yohn_Royce
