Id,Label,Link
AERYS,Aerys,https://gameofthrones.fandom.com/wiki/Aerys_II_Targaryen
ALLISER_THORNE,Alliser,https://gameofthrones.fandom.com/wiki/Alliser_Thorne
AREO,Areo,https://gameofthrones.fandom.com/wiki/Areo_Hotah
ARYA,Arya,https://gameofthrones.fandom.com/wiki/Arya_Stark
BARRISTAN,Barristan,https://gameofthrones.fandom.com/wiki/Barristan_Selmy
BRAN,Bran,https://gameofthrones.fandom.com/wiki/Bran_Stark
BRIENNE,Brienne,https://gameofthrones.fandom.com/wiki/Brienne_of_Tarth
BRONN,Bronn,https://gameofthrones.fandom.com/wiki/Bronn
CATELYN,Catelyn,https://gameofthrones.fandom.com/wiki/Catelyn_Stark
CERSEI,Cersei,https://gameofthrones.fandom.com/wiki/Cersei_Lannister
DAARIO,Daario,https://gameofthrones.fandom.com/wiki/Daario_Naharis
DAENERYS,Daenerys,https://gameofthrones.fandom.com/wiki/Daenerys_Targaryen
DAVOS,Davos,https://gameofthrones.fandom.com/wiki/Davos_Seaworth
DENYS,Denys,https://gameofthrones.fandom.com/wiki/Denys_Mallister
DORAN,Doran,https://gameofthrones.fandom.com/wiki/Doran_Martell
EDDISON_TOLLETT,Eddison,https://gameofthrones.fandom.com/wiki/Eddison_Tollett
ELLARIA,Ellaria,https://gameofthrones.fandom.com/wiki/Ellaria_Sand
GILLY,Gilly,https://gameofthrones.fandom.com/wiki/Gilly
GRENN,Grenn,https://gameofthrones.fandom.com/wiki/Grenn
GREY_WORM,Grey Worm,https://gameofthrones.fandom.com/wiki/Grey_Worm
HIGH_SPARROW,High Sparrow,https://gameofthrones.fandom.com/wiki/High_Sparrow
HIZDAHR,Hizdahr,https://gameofthrones.fandom.com/wiki/Hizdahr_zo_Loraq
JAIME,Jaime,https://gameofthrones.fandom.com/wiki/Jaime_Lannister
JANOS,Janos,https://gameofthrones.fandom.com/wiki/Janos_Slynt
JAQEN,Jaqen,https://gameofthrones.fandom.com/wiki/Jaqen_H%27ghar
JEOR,Jeor,https://gameofthrones.fandom.com/wiki/Jeor_Mormont
JOFFREY,Joffrey,https://gameofthrones.fandom.com/wiki/Joffrey_Baratheon
JON,Jon,https://gameofthrones.fandom.com/wiki/Jon_Snow
JORAH,Jorah,https://gameofthrones.fandom.com/wiki/Jorah_Mormont
KARSI,Karsi,https://gameofthrones.fandom.com/wiki/Karsi
KEVAN,Kevan,https://gameofthrones.fandom.com/wiki/Kevan_Lannister
LANCEL,Lancel,https://gameofthrones.fandom.com/wiki/Lancel_Lannister
LITTLEFINGER,Petyr,https://gameofthrones.fandom.com/wiki/Petyr_Baratheon
LOBODA,Loboda,https://gameofthrones.fandom.com/wiki/Loboda
LOLLYS,Lollys,https://gameofthrones.fandom.com/wiki/Lollys_Stokeworth
LORAS,Loras,https://gameofthrones.fandom.com/wiki/Loras_Tyrell
LORD_OF_BONES,Lord of Bones,https://gameofthrones.fandom.com/wiki/Lord_of_Bones
LYANNA_MORMONT,Lyanna Mormont,https://gameofthrones.fandom.com/wiki/Lyanna_Mormont
LYSA,Lysa,https://gameofthrones.fandom.com/wiki/Lysa_Arryn
MACE,Mace,https://gameofthrones.fandom.com/wiki/Mace_Tyrell
MAESTER_AEMON,Aemon,https://gameofthrones.fandom.com/wiki/Aemon
MAGGY,Maggy,https://gameofthrones.fandom.com/wiki/Maggy
MALKO,Malko,https://gameofthrones.fandom.com/wiki/Malko
MANCE,Mance,https://gameofthrones.fandom.com/wiki/Mance_Rayder
MARGAERY,Margaery,https://gameofthrones.fandom.com/wiki/Margaery_Tyrell
MELARA,Melara,https://gameofthrones.fandom.com/wiki/Melara_Hetherspoon
MELISANDRE,Melisandre,https://gameofthrones.fandom.com/wiki/Melisandre
MERYN_TRANT,Meryn,https://gameofthrones.fandom.com/wiki/Meryn_Trant
MISSANDEI,Missandei,https://gameofthrones.fandom.com/wiki/Missandei
MOSSADOR,Mossador,https://gameofthrones.fandom.com/wiki/Mossador
MYRANDA,Myranda,https://gameofthrones.fandom.com/wiki/Myranda
MYRCELLA,Myrcella,https://gameofthrones.fandom.com/wiki/Myrcella_Baratheon
NED,Ned,https://gameofthrones.fandom.com/wiki/Ned_Umber
NIGHT_KING,Night King,https://gameofthrones.fandom.com/wiki/Night_King
NYMERIA,Nymeria,https://gameofthrones.fandom.com/wiki/Nymeria_Sand
OBARA,Obara,https://gameofthrones.fandom.com/wiki/Obara_Sand
OBERYN,Oberyn,https://gameofthrones.fandom.com/wiki/Oberyn_Martell
OLENNA,Olenna,https://gameofthrones.fandom.com/wiki/Olenna_Tyrell
OLLY,Olly,https://gameofthrones.fandom.com/wiki/Olly
OLYVAR,Olyvar,https://gameofthrones.fandom.com/wiki/Olyvar
PODRICK,Podrick,https://gameofthrones.fandom.com/wiki/Podrick_Payne
PYCELLE,Pycelle,https://gameofthrones.fandom.com/wiki/Pycelle
QYBURN,Qyburn,https://gameofthrones.fandom.com/wiki/Qyburn
RAMSAY,Ramsay,https://gameofthrones.fandom.com/wiki/Ramsay_Bolton
RANDYLL,Randyll,https://gameofthrones.fandom.com/wiki/Randyll_Tarly
RENLY,Renly,https://gameofthrones.fandom.com/wiki/Renly_Baratheon
RHAEGAR,Rhaegar,https://gameofthrones.fandom.com/wiki/Rhaegar_Targaryen
RICKON,Rickon,https://gameofthrones.fandom.com/wiki/Rickon_Stark
ROBB,Robb,https://gameofthrones.fandom.com/wiki/Robb_Stark
ROBERT,Robert,https://gameofthrones.fandom.com/wiki/Robert_Baratheon
ROBIN,Robin,https://gameofthrones.fandom.com/wiki/Robin_Arryn
ROOSE_BOLTON,Roose,https://gameofthrones.fandom.com/wiki/Roose_Bolton
SAM,Sam,https://gameofthrones.fandom.com/wiki/Sam
SANSA,Sansa,https://gameofthrones.fandom.com/wiki/Sansa_Stark
SELYSE,Selyse,https://gameofthrones.fandom.com/wiki/Selyse_Baratheon
SHAE,Shae,https://gameofthrones.fandom.com/wiki/Shae
SHIREEN,Shireen,https://gameofthrones.fandom.com/wiki/Shireen_Baratheon
STANNIS,Stannis,https://gameofthrones.fandom.com/wiki/Stannis_Baratheon
STEFFON,Steffon,https://gameofthrones.fandom.com/wiki/Steffon
THEON,Theon,https://gameofthrones.fandom.com/wiki/Theon_Greyjoy
TOMMEN,Tommen,https://gameofthrones.fandom.com/wiki/Tommen_Baratheon
TORMUND,Tormund,https://gameofthrones.fandom.com/wiki/Tormund
TRYSTANE,Trystane,https://gameofthrones.fandom.com/wiki/Trystane_Martell
TYCHO,Tycho,https://gameofthrones.fandom.com/wiki/Tycho_Nestoris
TYENE,Tyene,https://gameofthrones.fandom.com/wiki/Tyene_Sand
TYRION,Tyrion,https://gameofthrones.fandom.com/wiki/Tyrion_Lannister
TYWIN,Tywin,https://gameofthrones.fandom.com/wiki/Tywin_Lannister
VARYS,Varys,https://gameofthrones.fandom.com/wiki/Varys
WAIF,Waif,https://gameofthrones.fandom.com/wiki/Waif
WALDA,Walda,https://gameofthrones.fandom.com/wiki/Walda_Frey_(The_Rains_of_Castamere)
WALDER,Walder,https://gameofthrones.fandom.com/wiki/Walder_Rivers
YOHN_ROYCE,Yohn,https://gameofthrones.fandom.com/wiki/Yohn_Royce
