Id,Label,Link
AERYS,Aerys,https://gameofthrones.fandom.com/wiki/Aerys_II_Targaryen
ALANNA,Alanna,https://gameofthrones.fandom.com/wiki/Alanna
ALTON,Alton,https://gameofthrones.fandom.com/wiki/Alton_Lannister
ALYS,Alys,https://gameofthrones.fandom.com/wiki/Alys_Karstark
ARYA,Arya,https://gameofthrones.fandom.com/wiki/Arya_Stark
BERIC,Beric,https://gameofthrones.fandom.com/wiki/Beric_Dondarrion
BRAN,Bran,https://gameofthrones.fandom.com/wiki/Bran_Stark
BRIENNE,Brienne,https://gameofthrones.fandom.com/wiki/Brienne_of_Tarth
BRONN,Bronn,https://gameofthrones.fandom.com/wiki/Bronn
CATELYN,Catelyn,https://gameofthrones.fandom.com/wiki/Catelyn_Stark
CERSEI,Cersei,https://gameofthrones.fandom.com/wiki/Cersei_Lannister
DAENERYS,Daenerys,https://gameofthrones.fandom.com/wiki/Daenerys_Targaryen
DAVOS,Davos,https://gameofthrones.fandom.com/wiki/Davos_Seaworth
DICKON,Dickon,https://gameofthrones.fandom.com/wiki/Dickon_Tarly
DIRAH,Dirah,https://gameofthrones.fandom.com/wiki/Dirah
EDDISON_TOLLETT,Eddison,https://gameofthrones.fandom.com/wiki/Eddison_Tollett
EDMURE,Edmure,https://gameofthrones.fandom.com/wiki/Edmure_Tully
EURON,Euron,https://gameofthrones.fandom.com/wiki/Euron_Greyjoy
GENDRY,Gendry,https://gameofthrones.fandom.com/wiki/Gendry_Baratheon
GILLY,Gilly,https://gameofthrones.fandom.com/wiki/Gilly
GREY_WORM,Grey Worm,https://gameofthrones.fandom.com/wiki/Grey_Worm
HARRY,Harry,https://gameofthrones.fandom.com/wiki/Harry_Strickland
HOUND,Sandor,https://gameofthrones.fandom.com/wiki/Sandor_Clegane
JAIME,Jaime,https://gameofthrones.fandom.com/wiki/Jaime_Lannister
JOFFREY,Joffrey,https://gameofthrones.fandom.com/wiki/Joffrey_Baratheon
JON,Jon,https://gameofthrones.fandom.com/wiki/Jon_Snow
JORAH,Jorah,https://gameofthrones.fandom.com/wiki/Jorah_Mormont
LITTLEFINGER,Petyr,https://gameofthrones.fandom.com/wiki/Petyr_Baratheon
LYANNA,Lyanna,https://gameofthrones.fandom.com/wiki/Lyanna_Stark
LYANNA_MORMONT,Lyanna Mormont,https://gameofthrones.fandom.com/wiki/Lyanna_Mormont
MAREI,Marei,https://gameofthrones.fandom.com/wiki/Marei
MARTHA,Martha,https://gameofthrones.fandom.com/wiki/Martha
MELISANDRE,Melisandre,https://gameofthrones.fandom.com/wiki/Melisandre
MISSANDEI,Missandei,https://gameofthrones.fandom.com/wiki/Missandei
MOUNTAIN,Gregor,https://gameofthrones.fandom.com/wiki/Gregor_Clegane
NED,Ned,https://gameofthrones.fandom.com/wiki/Ned_Umber
NED_UMBER,Ned Umber,https://gameofthrones.fandom.com/wiki/Ned_Umber
NIGHT_KING,Night King,https://gameofthrones.fandom.com/wiki/Night_King
NORA,Nora,https://gameofthrones.fandom.com/wiki/Nora
PODRICK,Podrick,https://gameofthrones.fandom.com/wiki/Podrick_Payne
QHONO,Qhono,https://gameofthrones.fandom.com/wiki/Qhono
QYBURN,Qyburn,https://gameofthrones.fandom.com/wiki/Qyburn
RAMSAY,Ramsay,https://gameofthrones.fandom.com/wiki/Ramsay_Bolton
RANDYLL,Randyll,https://gameofthrones.fandom.com/wiki/Randyll_Tarly
RHAEGAR,Rhaegar,https://gameofthrones.fandom.com/wiki/Rhaegar_Targaryen
ROBERT,Robert,https://gameofthrones.fandom.com/wiki/Robert_Baratheon
ROBIN,Robin,https://gameofthrones.fandom.com/wiki/Robin_Arryn
SAM,Sam,https://gameofthrones.fandom.com/wiki/Sam
SANSA,Sansa,https://gameofthrones.fandom.com/wiki/Sansa_Stark
SARRA,Sarra,https://gameofthrones.fandom.com/wiki/Sarra
TEELA,Teela,https://gameofthrones.fandom.com/wiki/Teela
THEON,Theon,https://gameofthrones.fandom.com/wiki/Theon_Greyjoy
TORMUND,Tormund,https://gameofthrones.fandom.com/wiki/Tormund
TYRION,Tyrion,https://gameofthrones.fandom.com/wiki/Tyrion_Lannister
TYWIN,Tywin,https://gameofthrones.fandom.com/wiki/Tywin_Lannister
VARYS,Varys,https://gameofthrones.fandom.com/wiki/Varys
VISERYS,Viserys,https://gameofthrones.fandom.com/wiki/Viserys_Targaryen_(son_of_Aerys_II)
YARA,Yara,https://gameofthrones.fandom.com/wiki/Yara_Greyjoy
YOHN_ROYCE,Yohn Royce,https://gameofthrones.fandom.com/wiki/Yohn_Royce
